,funded_month,investor_state_code,Count
2841,2009-08,CHE,1
5245,2012-12,NE,1
2847,2009-08,DNK,1
2849,2009-08,EST,1
2850,2009-08,FIN,1
5281,2013-01,CYM,1
2696,2009-05,BGR,1
2694,2009-05,BC,1
5283,2013-01,DE,1
2570,2009-02,MI,1
2572,2009-02,MO,1
2576,2009-02,NM,1
5311,2013-01,MUS,1
2579,2009-02,OK,1
2583,2009-02,SGP,1
2589,2009-02,WI,1
2569,2009-02,MEX,1
2590,2009-03,AB,1
2592,2009-03,AUS,1
2595,2009-03,CHE,1
2598,2009-03,CT,1
2599,2009-03,DC,1
2601,2009-03,DNK,1
2603,2009-03,FIN,1
2604,2009-03,FL,1
2591,2009-03,ARE,1
2565,2009-02,KS,1
2563,2009-02,ITA,1
5313,2013-01,ND,1
2514,2009-01,LA,1
2518,2009-01,MN,1
2519,2009-01,MYS,1
2523,2009-01,NM,1
2528,2009-01,PRT,1
2530,2009-01,ROM,1
2533,2009-01,TN,1
5318,2013-01,NOR,1
2537,2009-01,VT,1
2539,2009-02,AUS,1
2544,2009-02,CO,1
2546,2009-02,CYM,1
5315,2013-01,NH,1
2551,2009-02,EST,1
2553,2009-02,FL,1
2556,2009-02,HKG,1
2557,2009-02,HRV,1
5305,2013-01,LTU,1
2126,2008-05,UT,1
5304,2013-01,LBN,1
2608,2009-03,ID,1
2660,2009-04,GHA,1
2662,2009-04,HUN,1
2664,2009-04,IN,1
2666,2009-04,IRL,1
2667,2009-04,ISL,1
2670,2009-04,KOR,1
2671,2009-04,LUX,1
5293,2013-01,HI,1
5292,2013-01,GRC,1
2675,2009-04,MYS,1
2678,2009-04,NLD,1
2680,2009-04,OH,1
2682,2009-04,OR,1
2684,2009-04,PRT,1
2688,2009-04,TUR,1
5285,2013-01,DNK,1
2674,2009-04,MN,1
2656,2009-04,FIN,1
2654,2009-04,DNK,1
2652,2009-04,DE,1
2611,2009-03,IND,1
2612,2009-03,IRL,1
5302,2013-01,KEN,1
2615,2009-03,JPN,1
2616,2009-03,LUX,1
5300,2013-01,ITA,1
2620,2009-03,MUS,1
2622,2009-03,NH,1
2625,2009-03,NOR,1
2629,2009-03,OR,1
2631,2009-03,PAK,1
2636,2009-03,UT,1
2639,2009-03,WI,1
2641,2009-04,AL,1
2643,2009-04,AZ,1
2645,2009-04,BEL,1
5294,2013-01,HKG,1
2607,2009-03,HKG,1
5229,2012-12,HKG,1
5441,2013-03,IN,1
2114,2008-05,NOR,1
5623,2013-06,CHL,1
1572,2007-07,ID,1
1574,2007-07,IND,1
