index,company_name,company_market,company_country_code,raised_amount_usd
3426,Privalia,E-Commerce,ESP,32442500.0
3020,Nurotron Biotechnology,Biotechnology,CHN,32472800.0
691,Bustle,Curated Web,USA,32500000.0
2397,LeTV,Photography,CHN,32500000.0
1082,CoverHound,Cars,USA,32725952.0
5099,Zettics,Software,USA,32799996.0
3061,Omada Health,Education,USA,32900000.0
1640,Flite,Mobile Advertising,USA,33000000.0
1830,Grand Cru,Games,FIN,33000000.0
1006,ComparaOnline,Personal Finance,CHL,33000000.0
1603,FindTheBest,Search,USA,33000000.0
1743,Gecko Biomedical,Biotechnology,FRA,33000000.0
1514,Exeter Property Group,Real Estate,USA,33000000.0
85,Academia.edu,Social Media,USA,33300000.0
2130,Integrate,Software,USA,33500000.0
964,CoachUp,Training,USA,33500000.0
3714,Riverchase Dermatology and Cosmetic Surgery,Health Care,USA,33620000.0
4850,VoloAgri Group,Finance,USA,33680000.0
5008,Xenex Disinfection Services,Biotechnology,USA,33900000.0
904,ClassDojo,Kids,USA,34000000.0
1609,FirstFuel Software,Analytics,USA,34000000.0
1676,FoundationDB,Analytics,USA,34000000.0
4661,URX,Mobile,USA,34100000.0
3263,Personetics Technologies,Finance,USA,34500000.0
1049,Conventus Orthopaedics,Biotechnology,USA,34500999.0
5332,nWay,Games,USA,35000000.0
450,BackOps,Human Resources,USA,35000000.0
2439,Liftopia,Twin-Tip Skis,USA,35000000.0
3518,Quandoo,Online Reservations,DEU,35000000.0
2102,Inotek Pharmaceuticals,Biotechnology,USA,35000000.0
2407,LearnZillion,Technology,USA,35000000.0
1909,Hangtime,Curated Web,USA,35000000.0
3159,PPDai,Finance,CHN,35000000.0
4986,WorldOne,Analytics,USA,35000000.0
110,Active International,Advertising,USA,35000000.0
3156,PICS Auditing,Enterprise Software,USA,35000000.0
1507,Evolv Technologies,None,USA,35457321.0
3705,Ripple Labs,Finance Technology,USA,35500000.0
333,Arrayent,Software,USA,35700000.0
168,Affinium Pharmaceuticals,Health Care,USA,35700000.0
2655,Mediaspectrum,Software,USA,35800000.0
1118,CrowdStar,Games,USA,36000000.0
315,Apsalar,Data Integration,USA,36000000.0
2852,MyFitnessPal,Personal Health,USA,36000000.0
618,Boreal Genomics,Analytics,USA,36000000.0
1102,Crittercism,Mobile,USA,36000000.0
2513,Looker,Analytics,USA,36000000.0
704,C9 Inc.,News,USA,36000000.0
413,Axeda,Enterprise Software,USA,36000000.0
582,Blue Ant Media,None,CAN,36000000.0
733,Calastone,Finance,GBR,36000000.0
3264,PerspecSys,CRM,CAN,36000000.0
2765,Mobiquity,Mobile,USA,36000000.0
4936,WibiData,Enterprise Software,USA,36000000.0
1473,Eruditor Group,Curated Web,RUS,36000000.0
2854,MyOptique Group,E-Commerce,GBR,36366033.0
2356,Kyriba Corporation,Payments,USA,36400000.0
2792,MomentFeed,Social Media Marketing,USA,36500000.0
3115,Optimum Energy,M2M,USA,36600000.0
1960,Hinge,Mobile,USA,36899991.0
3808,ScaleArc,Software,USA,36900000.0
908,Clean Power Finance,Clean Technology,USA,37000000.0
2377,Labcyte,Biotechnology,USA,37100000.0
1284,Distech Controls,Clean Technology,CAN,37134206.0
2805,Monteris Medical,Health Care,USA,37200000.0
4957,Wireless Seismic,Hardware + Software,USA,37500000.0
4047,SmartThings,Home Automation,USA,37500000.0
1712,"G1 Therapeutics, Inc.",Biotechnology,USA,37500000.0
4370,TabTale,Games,MKD,37500000.0
254,AngioSlide,Health Care,USA,37800000.0
3278,Philo,Television,USA,37800000.0
5287,infirst Healthcare,Health and Wellness,GBR,37972639.0
647,Branding Brand,Mobile Commerce,USA,38000000.0
1852,GreenWave Reality,Software,USA,38000000.0
860,Choose Energy,Clean Technology,USA,38000000.0
4961,Wish,Curated Web,USA,38000000.0
2051,InContext Solutions,Software,USA,38111580.0
4080,SocialRadar,Location Based Services,USA,38250000.0
319,Arctic Sand Technologies,Hardware + Software,USA,38400000.0
5333,navabi,Retail,DEU,38598000.0
4390,TalentSoft,Software,FRA,38598000.0
2603,Marco Vasco,Travel,FRA,38598000.0
3581,Raydiance,Manufacturing,USA,38800000.0
2178,Jama Software,Software,USA,39000000.0
3129,Ostara,Clean Technology,CAN,39000000.0
948,CloudVelocity,Enterprise Software,USA,39000000.0
3571,Rainbow Hospitals,Biotechnology,IND,39000000.0
2072,Indochino,E-Commerce,CAN,39000000.0
4505,ThirdLove,Mobile Shopping,USA,39200000.0
2633,Matterport,Cloud Computing,USA,39200000.0
4792,Vestagen Technical Textiles,Health and Wellness,USA,39350000.0
1959,Hillerich & Bradsby,Curated Web,USA,40000000.0
2442,Lighting Science Group,Clean Technology,USA,40000000.0
3057,Olacabs,E-Commerce,IND,40000000.0
1093,Credorax,E-Commerce,USA,40000000.0
2794,Monetate,Testing,USA,40000000.0
2099,Innovative Pulmonary Solutions,Health and Wellness,USA,40000000.0
3257,PernixData,Enterprise Software,USA,40000000.0
72,ASI System Integration,Consulting,USA,40000000.0
5166,babbel,Language Learning,DEU,40000000.0
