company_market,funded_quarter,funding,startup
Clean Technology,2013-Q4,8000000.0,88
Curated Web,2004-Q1,1500000.0,1
Curated Web,2004-Q2,7000000.0,4
Curated Web,2004-Q3,10028397.0,15
Curated Web,2004-Q4,10000000.0,11
Curated Web,2005-Q1,4500000.0,6
Curated Web,2005-Q2,7000000.0,9
Curated Web,2005-Q3,4500000.0,6
Curated Web,2005-Q4,10000000.0,15
Curated Web,2006-Q1,12200000.0,42
Curated Web,2006-Q2,4100000.0,25
Curated Web,2006-Q3,5000000.0,14
Curated Web,2006-Q4,4500000.0,21
Curated Web,2007-Q1,2970000.0,25
Curated Web,2007-Q2,5000000.0,27
Curated Web,2007-Q3,4500000.0,51
Curated Web,2007-Q4,4750000.0,35
Curated Web,2008-Q1,4169942.0,57
Curated Web,2008-Q2,5000000.0,50
Curated Web,2008-Q3,5000000.0,38
Curated Web,2008-Q4,2875000.0,26
Curated Web,2009-Q1,2000000.0,29
Curated Web,2009-Q2,1097428.5,40
Curated Web,2009-Q3,4500000.0,33
Curated Web,2009-Q4,3575000.0,36
Curated Web,2010-Q1,1500000.0,63
Curated Web,2010-Q2,1600000.0,40
Curated Web,2010-Q3,2000000.0,75
Curated Web,2010-Q4,2500000.0,43
Curated Web,2011-Q1,2500000.0,58
Curated Web,2011-Q2,1600000.0,100
Curated Web,2011-Q3,1400000.0,88
Curated Web,2011-Q4,1600000.0,56
Curated Web,2012-Q1,1500000.0,93
Curated Web,2012-Q2,1500000.0,99
Curated Web,2012-Q3,1400000.0,61
Curated Web,2012-Q4,1300000.0,83
Curated Web,2013-Q1,1800000.0,85
Curated Web,2013-Q2,1000000.0,105
Curated Web,2013-Q3,2300000.0,130
Curated Web,2013-Q4,1753219.0,119
E-Commerce,2004-Q1,42000000.0,9
E-Commerce,2004-Q3,4500000.0,2
E-Commerce,2005-Q1,6300000.0,9
E-Commerce,2005-Q2,45000000.0,9
E-Commerce,2005-Q3,25000000.0,4
E-Commerce,2005-Q4,2500000.0,4
E-Commerce,2006-Q1,6000000.0,3
E-Commerce,2006-Q2,4000000.0,9
E-Commerce,2006-Q3,11000000.0,18
E-Commerce,2006-Q4,4000000.0,23
E-Commerce,2007-Q1,4000000.0,17
E-Commerce,2007-Q2,11000000.0,33
E-Commerce,2007-Q3,10000000.0,18
E-Commerce,2007-Q4,5000000.0,14
E-Commerce,2008-Q1,6250000.0,36
E-Commerce,2008-Q2,10000000.0,41
E-Commerce,2008-Q3,5800000.0,16
E-Commerce,2008-Q4,4500000.0,28
E-Commerce,2009-Q1,6000000.0,24
E-Commerce,2009-Q2,5000000.0,33
E-Commerce,2009-Q3,2200280.0,19
E-Commerce,2009-Q4,10000000.0,29
E-Commerce,2010-Q1,5726034.0,50
E-Commerce,2010-Q2,6050000.0,57
E-Commerce,2010-Q3,4500000.0,64
E-Commerce,2010-Q4,10000000.0,74
E-Commerce,2011-Q1,5750000.0,84
E-Commerce,2011-Q2,2000000.0,94
E-Commerce,2011-Q3,8000000.0,89
E-Commerce,2011-Q4,2100000.0,89
E-Commerce,2012-Q1,2750000.0,127
E-Commerce,2012-Q2,6200000.0,125
E-Commerce,2012-Q3,1100000.0,142
E-Commerce,2012-Q4,2000000.0,134
E-Commerce,2013-Q1,1600853.0,169
E-Commerce,2013-Q2,3400000.0,261
E-Commerce,2013-Q3,1650000.0,176
E-Commerce,2013-Q4,3000000.0,218
Enterprise Software,2004-Q1,6000000.0,3
Enterprise Software,2004-Q2,10000000.0,8
Enterprise Software,2004-Q3,6850000.0,10
Enterprise Software,2004-Q4,8600000.0,2
Enterprise Software,2005-Q1,10000000.0,91
Enterprise Software,2005-Q2,8670000.0,47
Enterprise Software,2005-Q3,6600000.0,53
Enterprise Software,2005-Q4,5500000.0,26
Enterprise Software,2006-Q1,7700000.0,70
Enterprise Software,2006-Q2,10100000.0,81
Enterprise Software,2006-Q3,5970000.0,64
Enterprise Software,2006-Q4,6300000.0,39
Enterprise Software,2007-Q1,9000000.0,52
Enterprise Software,2007-Q2,7000000.0,62
Enterprise Software,2007-Q3,10000000.0,61
Enterprise Software,2007-Q4,8550000.0,64
Enterprise Software,2008-Q1,8000000.0,60
Enterprise Software,2008-Q2,10600000.0,69
Enterprise Software,2008-Q3,10680000.0,37
Enterprise Software,2008-Q4,3375000.0,52
Enterprise Software,2009-Q1,7000000.0,66
Enterprise Software,2009-Q2,4500000.0,50
Enterprise Software,2009-Q3,7500000.0,61
Enterprise Software,2009-Q4,5000000.0,94
Enterprise Software,2010-Q1,5000000.0,80
