date,market,startup,funding,,,,
2004-01,CleanTechnology,1,1100000,,,,
2004-04,CleanTechnology,,#NUM!,,,,
2004-07,CleanTechnology,,#NUM!,,,,
2004-10,CleanTechnology,3,2000000,,,,
2005-01,CleanTechnology,1,6400000,,,,
2005-04,CleanTechnology,10,9300000,,,,
2005-07,CleanTechnology,14,12000000,,,,
2005-10,CleanTechnology,26,17617500,,,,
2006-01,CleanTechnology,6,3200000,,,,
2006-04,CleanTechnology,24,52500000,,,,
2006-07,CleanTechnology,11,34700000,,,,
2006-10,CleanTechnology,27,30000000,,,,
2007-01,CleanTechnology,19,14500000,,,,
2007-04,CleanTechnology,26,10000000,,,,
2007-07,CleanTechnology,49,14000000,,,,
2007-10,CleanTechnology,70,23100000,,,,
2008-01,CleanTechnology,116,15000000,,,,
2008-04,CleanTechnology,174,13900000,,,,
2008-07,CleanTechnology,137,19000000,,,,
2008-10,CleanTechnology,131,13000000,,,,
2009-01,CleanTechnology,45,10000000,,,,
2009-04,CleanTechnology,52,10680000,,,,
2009-07,CleanTechnology,66,12000000,,,,
2009-10,CleanTechnology,64,12100000,,,,
2010-01,CleanTechnology,89,12000000,,,,
2010-04,CleanTechnology,63,19800000,,,,
2010-07,CleanTechnology,72,13850000,,,,
2010-10,CleanTechnology,68,12250000,,,,
2011-01,CleanTechnology,75,17000000,,,,
2011-04,CleanTechnology,82,20000000,,,,
2011-07,CleanTechnology,99,15000000,,,,
2011-10,CleanTechnology,82,20000000,,,,
2012-01,CleanTechnology,106,12500000,,,,
2012-04,CleanTechnology,87,10100000,,,,
2012-07,CleanTechnology,49,7000000,,,,
2012-10,CleanTechnology,48,5268266,,,,
2013-01,CleanTechnology,80,4283730,,,,
2013-04,CleanTechnology,59,6000000,,,,
2013-07,CleanTechnology,85,10000000,,,,
2013-10,CleanTechnology,88,8000000,,,,
2004-01,HealthCare,,,,,,
2004-04,,,,,,,
2004-07,,,,,,,
2004-10,,,,,,,
2005-01,,,,,,,
2005-04,,,,,,,
2005-07,,,,,,,
2005-10,,,,,,,
2006-01,,,,,,,
2006-04,,,,,,,
2006-07,,,,,,,
2006-10,,,,,,,
2007-01,,,,,,,
2007-04,,,,,,,
2007-07,,,,,,,
2007-10,,,,,,,
2008-01,,,,,,,
2008-04,,,,,,,
2008-07,,,,,,,
2008-10,,,,,,,
2009-01,,,,,,,
2009-04,,,,,,,
2009-07,,,,,,,
2009-10,,,,,,,
2010-01,,,,,,,
2010-04,,,,,,,
2010-07,,,,,,,
2010-10,,,,,,,
2011-01,,,,,,,
2011-04,,,,,,,
2011-07,,,,,,,
2011-10,,,,,,,
2012-01,,,,,,,
2012-04,,,,,,,
2012-07,,,,,,,
2012-10,,,,,,,
2013-01,,,,,,,
2013-04,,,,,,,
2013-07,,,,,,,
2013-10,,,,,,,
2004-01,,,,,,,
2004-04,,,,,,,
2004-07,,,,,,,
2004-10,,,,,,,
2005-01,,,,,,,
2005-04,,,,,,,
2005-07,,,,,,,
2005-10,,,,,,,
2006-01,,,,,,,
2006-04,,,,,,,
2006-07,,,,,,,
2006-10,,,,,,,
2007-01,,,,,,,
2007-04,,,,,,,
2007-07,,,,,,,
2007-10,,,,,,,
2008-01,,,,,,,
2008-04,,,,,,,
2008-07,,,,,,,
2008-10,,,,,,,
2009-01,,,,,,,
2009-04,,,,,,,
2009-07,,,,,,,
2009-10,,,,,,,
2010-01,,,,,,,
2010-04,,,,,,,
2010-07,,,,,,,
2010-10,,,,,,,
2011-01,,,,,,,
2011-04,,,,,,,
2011-07,,,,,,,
2011-10,,,,,,,
2012-01,,,,,,,
2012-04,,,,,,,
2012-07,,,,,,,
2012-10,,,,,,,
2013-01,,,,,,,
2013-04,,,,,,,
2013-07,,,,,,,
2013-10,,,,,,,
2004-01,,,,,,,
2004-04,,,,,,,
2004-07,,,,,,,
2004-10,,,,,,,
2005-01,,,,,,,
2005-04,,,,,,,
2005-07,,,,,,,
2005-10,,,,,,,
2006-01,,,,,,,
2006-04,,,,,,,
2006-07,,,,,,,
2006-10,,,,,,,
2007-01,,,,,,,
2007-04,,,,,,,
2007-07,,,,,,,
2007-10,,,,,,,
2008-01,,,,,,,
2008-04,,,,,,,
2008-07,,,,,,,
2008-10,,,,,,,
2009-01,,,,,,,
2009-04,,,,,,,
2009-07,,,,,,,
2009-10,,,,,,,
2010-01,,,,,,,
2010-04,,,,,,,
2010-07,,,,,,,
2010-10,,,,,,,
2011-01,,,,,,,
2011-04,,,,,,,
2011-07,,,,,,,
2011-10,,,,,,,
2012-01,,,,,,,
2012-04,,,,,,,
2012-07,,,,,,,
2012-10,,,,,,,
2013-01,,,,,,,
2013-04,,,,,,,
2013-07,,,,,,,
2013-10,,,,,,,
2004-01,,,,,,,
2004-04,,,,,,,
2004-07,,,,,,,
2004-10,,,,,,,
2005-01,,,,,,,
2005-04,,,,,,,
2005-07,,,,,,,
2005-10,,,,,,,
2006-01,,,,,,,
2006-04,,,,,,,
2006-07,,,,,,,
2006-10,,,,,,,
2007-01,,,,,,,
2007-04,,,,,,,
2007-07,,,,,,,
2007-10,,,,,,,
2008-01,,,,,,,
2008-04,,,,,,,
2008-07,,,,,,,
2008-10,,,,,,,
2009-01,,,,,,,
2009-04,,,,,,,
2009-07,,,,,,,
2009-10,,,,,,,
2010-01,,,,,,,
2010-04,,,,,,,
2010-07,,,,,,,
2010-10,,,,,,,
2011-01,,,,,,,
2011-04,,,,,,,
2011-07,,,,,,,
2011-10,,,,,,,
2012-01,,,,,,,
2012-04,,,,,,,
2012-07,,,,,,,
2012-10,,,,,,,
2013-01,,,,,,,
2013-04,,,,,,,
2013-07,,,,,,,
2013-10,,,,,,,
2004-01,,,,,,,
2004-04,,,,,,,
2004-07,,,,,,,
2004-10,,,,,,,
2005-01,,,,,,,
2005-04,,,,,,,
2005-07,,,,,,,
2005-10,,,,,,,
2006-01,,,,,,,
2006-04,,,,,,,
2006-07,,,,,,,
2006-10,,,,,,,
2007-01,,,,,,,
2007-04,,,,,,,
2007-07,,,,,,,
2007-10,,,,,,,
2008-01,,,,,,,
2008-04,,,,,,,
2008-07,,,,,,,
2008-10,,,,,,,
2009-01,,,,,,,
2009-04,,,,,,,
2009-07,,,,,,,
2009-10,,,,,,,
2010-01,,,,,,,
2010-04,,,,,,,
2010-07,,,,,,,
2010-10,,,,,,,
2011-01,,,,,,,
2011-04,,,,,,,
2011-07,,,,,,,
2011-10,,,,,,,
2012-01,,,,,,,
2012-04,,,,,,,
2012-07,,,,,,,
2012-10,,,,,,,
2013-01,,,,,,,
2013-04,,,,,,,
2013-07,,,,,,,
2013-10,,,,,,,
2004-01,,,,,,,
2004-04,,,,,,,
2004-07,,,,,,,
2004-10,,,,,,,
2005-01,,,,,,,
2005-04,,,,,,,
2005-07,,,,,,,
2005-10,,,,,,,
2006-01,,,,,,,
2006-04,,,,,,,
2006-07,,,,,,,
2006-10,,,,,,,
2007-01,,,,,,,
2007-04,,,,,,,
2007-07,,,,,,,
2007-10,,,,,,,
2008-01,,,,,,,
2008-04,,,,,,,
2008-07,,,,,,,
2008-10,,,,,,,
2009-01,,,,,,,
2009-04,,,,,,,
2009-07,,,,,,,
2009-10,,,,,,,
2010-01,,,,,,,
2010-04,,,,,,,
2010-07,,,,,,,
2010-10,,,,,,,
2011-01,,,,,,,
2011-04,,,,,,,
2011-07,,,,,,,
2011-10,,,,,,,
2012-01,,,,,,,
2012-04,,,,,,,
2012-07,,,,,,,
2012-10,,,,,,,
2013-01,,,,,,,
2013-04,,,,,,,
2013-07,,,,,,,
2013-10,,,,,,,
