investor_country_code,company_country_code,raised_amount_usd
GRC,ESP,559880.0
GRC,GRC,2083315.0
GRC,USA,78000.0
HKG,CAN,11600000.0
HKG,CHN,38000000.0
HKG,HKG,349015000.0
HKG,IND,5000000.0
HKG,ISR,84200000.0
HKG,JPN,6100000.0
HKG,SGP,1100000.0
HKG,USA,166350000.0
IND,BEL,15439200.0
IND,IND,356850532.0
IND,ISR,15000000.0
IND,JPN,900000.0
IND,SGP,3859800.0
IND,USA,167244730.0
IRL,CHE,47200000.0
IRL,FRA,6359310.0
IRL,GBR,2972580.0
IRL,IRL,95539953.0
IRL,USA,251300000.0
ISL,ISL,6500000.0
ISR,CAN,30000000.0
ISR,CHE,13400000.0
ISR,CHN,2000000.0
ISR,DEU,3600000.0
ISR,GBR,9650000.0
ISR,ISR,685742500.0
ISR,JPN,1200000.0
ISR,MKD,13500000.0
ISR,RUS,5000000.0
ISR,SGP,7200000.0
ISR,USA,555655400.0
ITA,BRA,2830520.0
ITA,GBR,32165.0
ITA,ITA,24614757.0
ITA,USA,4764721.0
JOR,USA,4153219.0
JPN,IDN,9000000.0
JPN,IND,75000000.0
JPN,IRL,128660000.0
JPN,ISR,20000000.0
JPN,JPN,205177365.0
JPN,KOR,5028862.0
JPN,SGP,132815000.0
JPN,THA,6200000.0
JPN,TUR,1801240.0
JPN,USA,3365722852.0
KEN,KEN,235000.0
KEN,KOR,3000000.0
KHM,USA,3369900.0
KOR,GBR,1000000.0
KOR,ISR,8800000.0
KOR,KOR,33448105.0
KOR,TWN,15000000.0
KOR,USA,327621200.0
KWT,SWE,19000000.0
LBN,ARE,1095000.0
LBN,EGY,300000.0
LBN,LBN,375000.0
LBN,SAU,500000.0
LTU,LTU,1721414.0
LUX,BEL,15439200.0
LUX,ESP,1801240.0
LUX,FRA,6111350.0
LUX,USA,61800000.0
MEX,CHE,40000.0
MEX,ISR,60000000.0
MEX,MEX,52250000.0
MEX,USA,43000000.0
MUS,IND,171850000.0
MUS,USA,15500000.0
