,funded_month,investor_state_code,Count,latitude,longitude
0,2013-02,MN,1,45.7326,-93.9196
1,2008-12,MN,1,45.7326,-93.9196
2,2008-08,MN,1,45.7326,-93.9196
3,2009-05,MN,1,45.7326,-93.9196
4,2012-12,MN,1,45.7326,-93.9196
5,2009-01,MN,1,45.7326,-93.9196
6,2009-04,MN,1,45.7326,-93.9196
7,2007-06,MN,1,45.7326,-93.9196
8,2007-03,MN,1,45.7326,-93.9196
9,2007-04,MN,1,45.7326,-93.9196
10,2008-03,MN,1,45.7326,-93.9196
11,2011-02,MN,1,45.7326,-93.9196
12,2011-08,MN,1,45.7326,-93.9196
13,2012-03,MN,1,45.7326,-93.9196
14,2011-09,MN,1,45.7326,-93.9196
15,2012-04,MN,1,45.7326,-93.9196
16,2010-02,MN,1,45.7326,-93.9196
17,2012-10,MN,1,45.7326,-93.9196
18,2009-12,MN,1,45.7326,-93.9196
19,2010-05,MN,1,45.7326,-93.9196
20,2010-08,MN,1,45.7326,-93.9196
21,2012-09,MN,1,45.7326,-93.9196
22,2006-02,MN,1,45.7326,-93.9196
23,2004-07,MN,1,45.7326,-93.9196
24,2013-11,MN,1,45.7326,-93.9196
25,2005-10,MN,1,45.7326,-93.9196
26,2005-06,MN,1,45.7326,-93.9196
27,2013-08,MN,1,45.7326,-93.9196
28,2006-09,MN,1,45.7326,-93.9196
29,2005-11,MN,1,45.7326,-93.9196
30,2005-08,MN,1,45.7326,-93.9196
31,2006-06,MN,1,45.7326,-93.9196
32,2005-03,MN,1,45.7326,-93.9196
33,2004-12,MN,1,45.7326,-93.9196
34,2006-12,MN,1,45.7326,-93.9196
35,2011-07,MN,2,45.7326,-93.9196
36,2013-09,MN,2,45.7326,-93.9196
37,2009-07,MN,2,45.7326,-93.9196
38,2013-10,MN,2,45.7326,-93.9196
39,2009-06,MN,2,45.7326,-93.9196
40,2009-11,MN,2,45.7326,-93.9196
41,2009-09,MN,2,45.7326,-93.9196
42,2005-12,MN,2,45.7326,-93.9196
43,2009-02,MN,2,45.7326,-93.9196
44,2010-04,MN,2,45.7326,-93.9196
45,2013-01,MN,2,45.7326,-93.9196
46,2009-03,MN,2,45.7326,-93.9196
47,2013-05,MN,2,45.7326,-93.9196
48,2007-08,MN,2,45.7326,-93.9196
49,2011-05,MN,2,45.7326,-93.9196
50,2005-04,MN,2,45.7326,-93.9196
51,2011-01,MN,2,45.7326,-93.9196
52,2010-12,MN,2,45.7326,-93.9196
53,2007-10,MN,2,45.7326,-93.9196
54,2007-02,MN,2,45.7326,-93.9196
55,2013-07,MN,2,45.7326,-93.9196
56,2012-07,MN,2,45.7326,-93.9196
57,2011-03,MN,2,45.7326,-93.9196
58,2013-03,MN,2,45.7326,-93.9196
59,2010-09,MN,2,45.7326,-93.9196
60,2008-07,MN,2,45.7326,-93.9196
61,2008-06,MN,2,45.7326,-93.9196
62,2013-04,MN,2,45.7326,-93.9196
63,2010-10,MN,2,45.7326,-93.9196
64,2010-06,MN,3,45.7326,-93.9196
65,2005-01,MN,3,45.7326,-93.9196
66,2005-05,MN,3,45.7326,-93.9196
67,2005-07,MN,3,45.7326,-93.9196
68,2006-05,MN,3,45.7326,-93.9196
69,2008-10,MN,3,45.7326,-93.9196
70,2006-04,MN,3,45.7326,-93.9196
71,2008-04,MN,3,45.7326,-93.9196
72,2008-01,MN,3,45.7326,-93.9196
73,2006-08,MN,3,45.7326,-93.9196
74,2007-11,MN,3,45.7326,-93.9196
75,2007-05,MN,3,45.7326,-93.9196
76,2013-06,MN,3,45.7326,-93.9196
77,2012-02,MN,3,45.7326,-93.9196
78,2011-10,MN,3,45.7326,-93.9196
79,2009-08,MN,3,45.7326,-93.9196
80,2009-10,MN,3,45.7326,-93.9196
81,2005-02,MN,4,45.7326,-93.9196
82,2007-07,MN,4,45.7326,-93.9196
83,2007-09,MN,4,45.7326,-93.9196
84,2005-09,MN,4,45.7326,-93.9196
85,2013-12,MN,4,45.7326,-93.9196
86,2006-07,MN,4,45.7326,-93.9196
87,2012-06,MN,4,45.7326,-93.9196
88,2010-07,MN,4,45.7326,-93.9196
89,2011-11,MN,4,45.7326,-93.9196
90,2008-05,MN,5,45.7326,-93.9196
91,2007-01,MN,5,45.7326,-93.9196
92,2012-05,MN,6,45.7326,-93.9196
93,2011-06,MN,7,45.7326,-93.9196
94,2012-01,MN,7,45.7326,-93.9196
95,2010-01,MN,8,45.7326,-93.9196
96,2008-10,ME,1,44.6074,-69.3977
97,2008-11,ME,1,44.6074,-69.3977
98,2009-06,ME,1,44.6074,-69.3977
99,2007-06,ME,1,44.6074,-69.3977
100,2013-05,ME,1,44.6074,-69.3977
101,2013-06,ME,1,44.6074,-69.3977
102,2008-03,ME,1,44.6074,-69.3977
103,2008-04,ME,1,44.6074,-69.3977
104,2013-04,ME,1,44.6074,-69.3977
105,2007-12,ME,1,44.6074,-69.3977
106,2011-06,ME,1,44.6074,-69.3977
107,2011-11,ME,1,44.6074,-69.3977
