investor_city,funded_month,Count
Aachen,2006-08,1
Nassau,2008-12,1
Natick,2005-04,1
Natick,2005-08,1
Natick,2006-10,1
Natick,2006-11,1
Natick,2012-07,1
Natick,2013-02,1
Natick,2013-05,1
Nashville,2013-10,1
Natick,2013-08,1
Needham,2004-11,1
Needham,2005-01,1
Needham,2005-03,1
Needham,2005-04,1
Needham,2005-06,1
Needham,2005-10,1
Needham,2005-12,1
Needham,2006-01,1
Natick,2013-11,1
Nashville,2013-07,1
Nashville,2012-12,1
Nashville,2011-10,1
Nashville,2005-07,1
Nashville,2005-08,1
Nashville,2005-12,1
Nashville,2006-03,1
Nashville,2006-08,1
Nashville,2007-03,1
Nashville,2007-04,1
Nashville,2007-07,1
Nashville,2007-08,1
Nashville,2007-09,1
Nashville,2008-10,1
Nashville,2009-05,1
Nashville,2009-10,1
Nashville,2009-12,1
Nashville,2010-06,1
Nashville,2010-07,1
Nashville,2010-08,1
Nashville,2010-10,1
Nashville,2011-03,1
Needham,2006-03,1
Nashville,2005-04,1
Needham,2006-04,1
Needham,2006-11,1
Needham Heights,2007-11,1
Needham Heights,2008-07,1
Needham Heights,2009-04,1
Needham Heights,2009-05,1
Needham Heights,2009-07,1
Needham Heights,2009-10,1
Needham Heights,2010-01,1
Needham Heights,2010-02,1
Needham Heights,2006-11,1
Needham Heights,2010-08,1
Needham Heights,2011-04,1
Needham Heights,2011-09,1
Needham Heights,2011-11,1
Needham Heights,2012-05,1
Needham Heights,2012-09,1
Needham Heights,2012-11,1
Needham Heights,2013-01,1
Needham Heights,2013-03,1
Needham Heights,2010-12,1
Needham Heights,2006-08,1
Needham Heights,2006-05,1
Needham Heights,2005-03,1
Needham,2007-01,1
Needham,2007-04,1
Needham,2007-06,1
Needham,2007-09,1
Needham,2007-10,1
Needham,2008-02,1
Needham,2008-03,1
Needham,2008-04,1
Needham,2008-07,1
Needham,2009-01,1
Needham,2009-06,1
Needham,2009-11,1
Needham,2009-12,1
Needham,2010-08,1
Needham,2010-10,1
Needham,2010-12,1
Needham,2011-04,1
Needham,2012-05,1
Needham,2013-03,1
Needham,2006-06,1
Needham Heights,2013-07,1
Nashville,2004-10,1
Narberth,2012-11,1
Mí__nchen,2012-08,1
Mí__nchen,2012-09,1
Mí__nchen,2012-10,1
Mí__nchen,2013-02,1
Mí__nchen,2013-03,1
Mí__nchen,2013-04,1
Mí__nchen,2013-05,1
Mí__nchen,2013-12,1
Mí__nchen,2012-05,1
Mí__nsbach,2013-11,1
Mí__nster-sarmsheim,2008-01,1
Mí__nster-sarmsheim,2008-06,1
Mí__nster-sarmsheim,2008-11,1
Mí__nster-sarmsheim,2009-11,1
Mí__nster-sarmsheim,2009-12,1
Mí__nster-sarmsheim,2010-06,1
Mí__nster-sarmsheim,2012-05,1
Mí__nster-sarmsheim,2012-07,1
Mí__nster-sarmsheim,2007-04,1
Mí__nchen,2012-01,1
Mí__nchen,2011-12,1
Mí__nchen,2011-09,1
Mí__nchen,2006-05,1
Mí__nchen,2006-06,1
Mí__nchen,2006-11,1
Mí__nchen,2007-06,1
Mí__nchen,2007-07,1
Mí__nchen,2007-12,1
Mí__nchen,2008-10,1
Mí__nchen,2008-12,1
Mí__nchen,2009-03,1
Mí__nchen,2009-09,1
Mí__nchen,2010-02,1
Mí__nchen,2010-05,1
Mí__nchen,2010-06,1
Mí__nchen,2010-08,1
Mí__nchen,2010-12,1
Mí__nchen,2011-02,1
Mí__nchen,2011-03,1
Mí__nchen,2011-05,1
Mí__nchen,2011-06,1
Mí__nster-sarmsheim,2013-03,1
Nashville,2004-04,1
Naarden,2009-08,1
Naarden,2010-05,1
Namur,2013-11,1
Nanjing,2013-10,1
Nantes,2013-07,1
Naperville,2005-11,1
Naperville,2007-09,1
Naples,2005-01,1
Naples,2006-09,1
Naples,2009-07,1
Namur,2011-12,1
Naples,2009-08,1
Naples,2011-01,1
Naples,2011-02,1
Naples,2011-03,1
Naples,2012-05,1
Naples,2012-06,1
Naples,2013-01,1
Naples,2013-06,1
Naples,2013-10,1
Naples,2009-09,1
Nairobi,2012-12,1
Nairobi,2010-06,1
Nairobi,2010-04,1
Naarden,2010-06,1
Naarden,2010-09,1
Naarden,2011-01,1
Naarden,2011-02,1
Naarden,2011-04,1
Naarden,2011-07,1
Naarden,2011-09,1
Naarden,2011-12,1
Naarden,2012-03,1
Naarden,2012-04,1
Naarden,2012-05,1
Naarden,2012-06,1
Naarden,2012-07,1
Naarden,2012-11,1
Naarden,2013-04,1
Naarden,2013-11,1
Nairobi,2005-03,1
Nairobi,2005-07,1
Nairobi,2006-02,1
Naarden,2010-01,1
Needham Heights,2013-09,1
Nepean,2006-11,1
Nesher,2006-01,1
Newcastle Upon Tyne,2011-12,1
Newcastle Upon Tyne,2012-04,1
Newcastle Upon Tyne,2012-05,1
Newcastle Upon Tyne,2012-07,1
Newcastle Upon Tyne,2012-10,1
Newcastle Upon Tyne,2013-07,1
Newport,2005-08,1
Newport,2006-09,1
Newcastle Upon Tyne,2011-08,1
Newport,2007-09,1
Newport,2011-03,1
Newport,2012-01,1
Newport,2012-05,1
Newport,2012-08,1
Newport,2013-03,1
Newport Beach,2009-07,1
Newport Beach,2010-07,1
Newport Beach,2010-08,1
Newport,2010-12,1
Newcastle Upon Tyne,2011-07,1
Newcastle Upon Tyne,2011-06,1
Newcastle Upon Tyne,2011-01,1
Newark,2013-08,1
Newark,2013-10,1
Newark,2013-12,1
Newark Upon Trent,2007-02,1
Newcastle,2013-09,1
Newcastle Upon Tyne,2006-08,1
Newcastle Upon Tyne,2006-09,1
Newcastle Upon Tyne,2007-03,1
Newcastle Upon Tyne,2007-08,1
Newcastle Upon Tyne,2007-11,1
Newcastle Upon Tyne,2008-06,1
Newcastle Upon Tyne,2008-10,1
Newcastle Upon Tyne,2008-11,1
Newcastle Upon Tyne,2009-01,1
Newcastle Upon Tyne,2009-05,1
Newcastle Upon Tyne,2010-01,1
Newcastle Upon Tyne,2010-05,1
