ANT Financial
Uber
Xiaomi
Airbnb
Palantir Technologies
Didi Kuaidi
WeWork
Snapchat
Flipkart
Space Exploration Technologies
Pinterest
Dropbox
Lufax
Theranos
Spotify
DJI
ZhongAn
Meituan.com
Lyft
Ola
Coupang
Stripe
Stem CentRx
Snapdeal
Magic Leap
Zenefits
Cloudera
Dianping
Yello Mobile
Slack
Garena
Credit Karma
Global Fashion Group
Meizu
LeSports
Fanatics
Delivery Hero
VANCL
SoFi
DocuSign
Wish
Ele.me
HelloFresh
Moderna Therapeutics
Bloom Energy
Powa Technologies
Oscar
Vice Media
Lazada Group
Mozido
Meitu
Houzz
Adyen
Nutanix
AppDynamics
SurveyMonkey
Trendy International Group
One97 Communications
GitHub
InMobi
Instacart
Domo
Blue Apron
Avant
Intarcia Therapeutics
Prosper
Avito.ru
ZocDoc
Skyscanner
Tanium
Honest Co.
Yidao Yongche
Jawbone
Deem
LivingSocial
Razer
GrabTaxi
Blippar
BuzzFeed
MuleSoft
Mu Sigma
InsideSales.com
Koudai
Jet
MongoDB
58 Daojia
Thumbtack
Dada
Tujia
FanDuel
Red Ventures
Medallia
Auction.com
Sprinklr
Lashou.com
Sogou
BlaBlaCar
Okta
DraftKings
Warby Parker
Miaopai
Infinidat
AppNexus
Proteus Digital Health
AUTO1 Group
Automattic
Klarna
Qualtrics
Pluralsight
Zuora
Taboola
Nextdoor
Zscaler
MarkLogic
Adknowledge
Tango
MindMaze
Apttus
ShopClues
Actifio
Anaplan
Coupa Software
MediaMath
ForeScout Technologies
NJOY
Eventbrite
Gusto
Zomato
CloudFlare
Vox Media
Wifi Skeleton Key
Funding Circle
Quikr
Africa Internet Group
AppDirect
SimpliVity
Twilio
Shazam
ironSource
Kabam
Aiwujiwu
JustFab
Home24
Illumio
Mogujie
Douyu TV
Mercari
Souq
Panshi
Udacity
Tintri
Docker
Lamabang
Wandoujia
BeiBei
AVAST Software
Lookout
Kabbage
Glassdoor
Kik
Zeta Interactive
Farfetch
Evernote
Fanli
Datto
